"session_id","phase_number","phase_name","confidence"
b2b4e120-dd68-11ef-9101-0242ac120003,3,Pre phase ,4
b34e4ab8-e2e0-11ef-9325-0242ac120003,4,Intervention Phase,5
b34e4ab8-e2e0-11ef-9325-0242ac120003,3,Pre phase ,5
b34e4ab8-e2e0-11ef-9325-0242ac120003,5,Post Phase,5
b53ad774-de3a-11ef-82d1-0242ac120003,5,Post Phase,3
b53ad774-de3a-11ef-82d1-0242ac120003,4,Intervention Phase,3
b53ad774-de3a-11ef-82d1-0242ac120003,3,Pre phase ,3
b54bc88a-defe-11ef-a609-0242ac120003,4,Intervention Phase,5
b54bc88a-defe-11ef-a609-0242ac120003,5,Post Phase,5
b54bc88a-defe-11ef-a609-0242ac120003,3,Pre phase ,4
b5aaf260-dd78-11ef-9101-0242ac120003,3,Pre phase ,4
b5aaf260-dd78-11ef-9101-0242ac120003,4,Intervention Phase,4
b5aaf260-dd78-11ef-9101-0242ac120003,5,Post Phase,5
b68ac03e-df0d-11ef-b02c-0242ac120003,3,Pre phase ,4
b68ac03e-df0d-11ef-b02c-0242ac120003,4,Intervention Phase,4
b68ac03e-df0d-11ef-b02c-0242ac120003,5,Post Phase,4
b6a3d33a-dd73-11ef-8bc0-0242ac120003,5,Post Phase,4
b6a3d33a-dd73-11ef-8bc0-0242ac120003,4,Intervention Phase,4
b6a3d33a-dd73-11ef-8bc0-0242ac120003,3,Pre phase ,4
b7bef22e-dd53-11ef-8bc0-0242ac120003,5,Post Phase,4
b7bef22e-dd53-11ef-8bc0-0242ac120003,3,Pre phase ,4
b7bef22e-dd53-11ef-8bc0-0242ac120003,4,Intervention Phase,3
b9b42218-dfbd-11ef-9db1-0242ac120003,3,Pre phase ,4
b9b42218-dfbd-11ef-9db1-0242ac120003,4,Intervention Phase,4
b9b42218-dfbd-11ef-9db1-0242ac120003,5,Post Phase,4
b9eae942-e3be-11ef-8bc0-0242ac120003,3,Pre phase ,1
b9fad9e8-de22-11ef-82d1-0242ac120003,3,Pre phase ,5
b9fad9e8-de22-11ef-82d1-0242ac120003,5,Post Phase,4
b9fad9e8-de22-11ef-82d1-0242ac120003,4,Intervention Phase,4
bc95e070-dfc2-11ef-8b3e-0242ac120003,3,Pre phase ,3
bc95e070-dfc2-11ef-8b3e-0242ac120003,4,Intervention Phase,3
bc95e070-dfc2-11ef-8b3e-0242ac120003,5,Post Phase,3
bd67f612-dfce-11ef-a567-0242ac120003,4,Intervention Phase,4
bd67f612-dfce-11ef-a567-0242ac120003,3,Pre phase ,3
bd67f612-dfce-11ef-a567-0242ac120003,5,Post Phase,3
bdb57994-dee0-11ef-943e-0242ac120003,3,Pre phase ,4
bdb57994-dee0-11ef-943e-0242ac120003,5,Post Phase,4
bdb57994-dee0-11ef-943e-0242ac120003,4,Intervention Phase,3
